COD_ISBN	AUTORI	TITOLO	STITOLO	EDIZIONE	TITOLOC	PREZZO	NUPAG	NOTA
9788808280053	"HERDMAN Theresa Heather-KAMITSURU Shigemi-RIGON Luisa Anna"	"Diagnosi infermieristiche NANDA-I, Definizioni e Classificazioni 2018-2020"		"Undicesima edizione"	"Volume unico"	4500	496	", Casa Editrice Ambrosiana. Distribuzione esclusiva Zanichelli, 170x240, 2018"
9788808501325	"LANZONI Lorena-ROSSI Lino"	"Labirinti della mente"	"Moduli di Psicologia e Metodologia della ricerca"		"Volume unico per il primo biennio"	3380	350	"Clitt editore. Distribuzione esclusiva Zanichelli, 195x285, 2014"
9788808500212	"BRUNELLO Paola-GIANGRANDE Paola Maria-GIUSTI Simone-ROSSI Giuseppe Aldo-ROSSI Simonetta"	"L'ora di italiano"			"Confezione 3 con Laboratorio delle competenze"	3130	608	"197x266, 2013"
9788808151407	"GAZZANIGA Michael S-IVRY Richard B-MADO PROVERBIO Alice-MANGUN George R-ZANI Alberto"	"Neuroscienze cognitive"		"Seconda edizione italiana condotta sulla quarta edizione americana"	"Volume unico"	7300	704	"Trad. di A. Zani, A. Mado Proverbio, , 197x270, 2015"
9788808220486	"COLLI Giovanna"	ComunicAzione	"Dalla teoria alle competenze comunicative efficaci"	"seconda edizione"	"Volume unico"	2950	416	", Clitt editore. Distribuzione esclusiva Zanichelli, 197x285, 2019"
9788808142894	"RIPPA Mario"	"La Chimica di Rippa"		"versione blu"	"Volume unico per il secondo biennio"	3000	416	"Italo Bovolenta editore. Distribuzione esclusiva Zanichelli, 230x285, 2011"
9788808142931	"RIPPA Mario"	"La Chimica di Rippa"		"versione blu"	"Confezione volume 1 PLUS"	2040	240	"Italo Bovolenta editore. Distribuzione esclusiva Zanichelli, 230x285, 2011"
9788808143075	"RIPPA Mario"	"La Chimica di Rippa"		"versione blu"	"Volume 2 con risorse digitali Scuolabook"	1900	244	"Italo Bovolenta editore. Distribuzione esclusiva Zanichelli, 230x285, 2011"
9788808159601	"RIPPA Mario"	"La Chimica di Rippa"		"versione blu"	"Volume unico per il primo biennio con risorse digitali Scuolabook"	1480	160	"Italo Bovolenta editore. Distribuzione esclusiva Zanichelli, 230x285, 2011"
9788808195746	"RIPPA Mario"	"La Chimica di Rippa"		"versione blu"	"Volume unico PLUS per il secondo biennio"	3620	512	"Italo Bovolenta editore. Distribuzione esclusiva Zanichelli, 230x285, 2011"
